clientId,clientStatus,registrationDate,fullName,shortName,inn,kpp,ogrn,okpo,taxAgencyCode,legalAddress,postalAddress,regCountryCode,isForeign,economicSector,bankInfo,relations,contacts,userId,login,person.fullName,person.phone,person.email,userStartsAt,userEndsAt,sessionId,sessionTs,eventType,ipAddress.ip,ipAddress.port,ipAddress.ipType,userAgent,deviceId,geolocation,orderId,contractId,orderStatus,orderType,createdAt,confirmedAt,sender.clientId,sender.address,sender.contactPerson,receiver.clientId,receiver.address,receiver.contactPerson,routeFrom,routeTo,transitPoints,carrier.name,carrier.inn,flightNumber,vehicleNumber,awbNumber,cmrNumber,cargoDescription,cargoWeight,cargoVolume,cargoDangerClass,cargoSpecialConditions,insuranceInfo.policyNumber,insuranceInfo.amount,customsInfo.declarationNumber,customsInfo.brokerInn,estimatedDeliveryDate,actualDeliveryDate,trackingId,eventTs,statusCode,statusDescription,location.address,location.city,location.coordinates,operatorId,scannedDeviceId,paymentId,paymentTs,paymentType,paymentMethod,amount,currency,invoiceNumber,from.bankInfo,to.bankInfo,paymentStatus,externalPaymentId,ipAddress,conversationId,startsAt,endsAt,channel,messageId,messageTs,messageText,attachments,operatorLogin,relatedOrderId,ts,sourceIp,sourcePort,destinationIp,destinationPort,protocol,flag,bytesTransferred
ORG-001,ARCHIVED,2024-04-26T20:28:56Z,"ООО ""Прогресс Логистик""",Альфа,2551112063,067011550,4845440966233,21380943,8798,"{""building"":""94"",""city"":""Санкт-Петербург"",""street"":""Победы""}","{""building"":""48"",""city"":""Санкт-Петербург"",""street"":""Ленина""}",RU,false,Логистика,"{""bankName"":""Газпромбанк"",""bik"":""044525823"",""correspondentAccount"":""30101805654905421"",""settlementAccount"":""40702882926790789""}","[{""dateBegin"":""2025-05-31"",""dateEnd"":null,""fullName"":""Иванов Владимир Петрович"",""inn"":""971195961558"",""position"":""Генеральный директор"",""role"":""PAYER""}]","[{""email"":""info1@example.ru"",""phone"":""+7 929 906-36-76""}]",USR-001,u.1@example.ru,Морозов Дмитрий Александрович,+7 948 590-56-12,user1@example.ru,2024-08-04T20:28:56Z,,sess-87b99cee,2026-07-04T20:28:56Z,PASSWORD_CHANGE,83.89.119.111,37948,IPv4,Mozilla/5.0 (compatible; CopmFake/1.0),,"55.75,37.62",ORD-001,CNT-001,CREATED,AIR,2026-06-05T20:28:56Z,2026-06-06T20:28:56Z,ORG-001,"Санкт-Петербург, Ленина","Сидоров Александр Николаевич, +7 985 891-52-73",ORG-1001,"Самара, Мира","Смирнов Александр Николаевич, +7 947 705-84-67",Санкт-Петербург,Москва,"[""Ростов-на-Дону"",""Екатеринбург""]",Гарант Карго,4226888018,SU-258,А515ВС77,66098030277,,Промышленное оборудование,6056.9,77.0,ADR 9,Температурный режим +2..+8,INS-001,214600,0960757738,7861076397,2026-07-07,2026-07-08,TRK-001,2026-07-04T20:28:56Z,DELIVERED,Груз прошёл таможенное оформление,"Санкт-Петербург, Гагарина",Санкт-Петербург,"55.75,37.62",OP-34,scn-9c8752,PAY-001,2026-07-03T20:28:56Z,INVOICE,CARD,467153.00,RUB,INV-001,"{""account"":""40802884058775412"",""bankName"":""Газпромбанк"",""bik"":""044525823"",""inn"":""2551112063""}","{""account"":""40702886157021137"",""bankName"":""Сбербанк"",""bik"":""044525225""}",FAILED,EXT-7c45dac4,1.211.194.151,CONV-001,2026-06-30T20:28:56Z,2026-07-01T20:28:56Z,MESSENGER,MSG-001,2026-07-01T20:28:56Z,"Добрый день! Уточните, пожалуйста, статус заявки.",[],,ORD-001,2026-07-05T20:28:56Z,130.217.165.206,15500,10.0.175.20,443,TCP,FIN,461553
ORG-002,ARCHIVED,2024-04-26T20:28:56Z,"ООО ""Прогресс Транс""",,0007284957,840586295,6571995437894,,5754,"{""building"":""34"",""city"":""Екатеринбург"",""street"":""Мира""}","{""building"":""76"",""city"":""Екатеринбург"",""street"":""Центральная""}",RU,false,Логистика,"{""bankName"":""Сбербанк"",""bik"":""044525225"",""correspondentAccount"":""30101827095668543"",""settlementAccount"":""40702818749319446""}","[{""dateBegin"":""2025-05-31"",""dateEnd"":null,""fullName"":""Сидоров Дмитрий Иванович"",""inn"":""511149914678"",""position"":""Генеральный директор"",""role"":""PAYER""}]","[{""email"":""info2@example.ru"",""phone"":""+7 946 229-49-42""}]",USR-002,u.2@example.ru,Петров Владимир Николаевич,+7 943 625-71-23,user2@example.ru,2024-08-04T20:28:56Z,,sess-db77d314,2026-07-04T20:28:56Z,LOGIN,16.191.189.237,28708,IPv4,Mozilla/5.0 (compatible; CopmFake/1.0),dev-27f4d6,"55.75,37.62",ORD-002,CNT-002,CONFIRMED,AIR,2026-06-05T20:28:56Z,2026-06-06T20:28:56Z,ORG-002,"Екатеринбург, Мира","Кузнецов Сергей Сергеевич, +7 978 485-21-26",ORG-1002,"Казань, Советская","Кузнецов Пётр Сергеевич, +7 968 808-23-10",Екатеринбург,Новосибирск,"[""Казань"",""Новосибирск""]",Восток Карго,1617461715,SU-430,А462ВС77,64226536550,30385435,Промышленное оборудование,3192.2,56.8,ADR 3,Температурный режим +2..+8,,295141,4752799340,2145874718,2026-07-07,2026-07-08,TRK-002,2026-07-04T20:28:56Z,DEPARTED,Груз прошёл таможенное оформление,"Екатеринбург, Ленина",Екатеринбург,,OP-19,scn-19b850,PAY-002,2026-07-03T20:28:56Z,POSTPAYMENT,ACCOUNT_DEBIT,130772.00,RUB,INV-002,"{""account"":""40802811428742010"",""bankName"":""Сбербанк"",""bik"":""044525225"",""inn"":""0007284957""}","{""account"":""40702865493937443"",""bankName"":""Альфа-Банк"",""bik"":""044525593""}",CONFIRMED,EXT-de72895b,63.68.84.4,CONV-002,2026-06-30T20:28:56Z,2026-07-01T20:28:56Z,PHONE,MSG-002,2026-07-01T20:28:56Z,"Добрый день! Уточните, пожалуйста, статус заявки.",[],operator.6,ORD-002,2026-07-05T20:28:56Z,157.209.214.83,9253,10.0.122.123,443,TCP,SYN,161508
ORG-003,ARCHIVED,2024-04-26T20:28:56Z,"ООО ""Кама Cargo""",Волга,5808364141,267952316,2279961633888,27481593,1818,"{""building"":""73"",""city"":""Самара"",""street"":""Гагарина""}",,RU,false,Логистика,"{""bankName"":""ВТБ"",""bik"":""044525187"",""correspondentAccount"":""30101850956015045"",""settlementAccount"":""40702809086130569""}","[{""dateBegin"":""2025-05-31"",""dateEnd"":null,""fullName"":""Петров Сергей Сергеевич"",""inn"":""349709513779"",""position"":""Генеральный директор"",""role"":""SENDER""}]","[{""email"":""info3@example.ru"",""phone"":""+7 992 154-51-10""}]",USR-003,u.3@example.ru,Попов Иван Сергеевич,+7 983 102-37-88,user3@example.ru,2024-08-04T20:28:56Z,,sess-64475193,2026-07-04T20:28:56Z,LOGOUT,88.152.19.220,26141,IPv4,Mozilla/5.0 (compatible; CopmFake/1.0),dev-563281,"55.75,37.62",ORD-003,CNT-003,IN_TRANSIT,AUTO,2026-06-05T20:28:56Z,2026-06-06T20:28:56Z,ORG-003,"Самара, Мира","Морозов Владимир Иванович, +7 945 410-59-45",ORG-1003,"Новосибирск, Советская","Кузнецов Владимир Иванович, +7 942 816-76-97",Самара,Санкт-Петербург,[],Восток Карго,3422892906,SU-666,А926ВС77,73383677658,,Промышленное оборудование,10025.7,27.0,ADR 4,Температурный режим +2..+8,INS-003,376885,8113698018,3275433352,2026-07-07,2026-07-08,TRK-003,2026-07-04T20:28:56Z,DEPARTED,Груз прошёл таможенное оформление,"Самара, Мира",Самара,"55.75,37.62",OP-45,scn-020558,PAY-003,2026-07-03T20:28:56Z,REFUND,CARD,38995.00,RUB,INV-003,"{""account"":""40802846452041329"",""bankName"":""ВТБ"",""bik"":""044525187"",""inn"":""5808364141""}","{""account"":""40702857612804923"",""bankName"":""Альфа-Банк"",""bik"":""044525593""}",CONFIRMED,EXT-925433f3,95.191.155.51,CONV-003,2026-06-30T20:28:56Z,2026-07-01T20:28:56Z,EMAIL,MSG-003,2026-07-01T20:28:56Z,"Добрый день! Уточните, пожалуйста, статус заявки.",[],operator.6,ORD-003,2026-07-05T20:28:56Z,110.77.101.139,55301,10.0.176.229,443,TCP,SYN,400001
ORG-004,ARCHIVED,2024-04-26T20:28:56Z,"ООО ""Балтика Cargo""",Феникс,4077941936,888433660,0880166902481,45921340,2090,"{""building"":""115"",""city"":""Новосибирск"",""street"":""Мира""}","{""building"":""137"",""city"":""Новосибирск"",""street"":""Советская""}",RU,false,Логистика,"{""bankName"":""ВТБ"",""bik"":""044525187"",""correspondentAccount"":""30101831333715052"",""settlementAccount"":""40702802935955493""}","[{""dateBegin"":""2025-05-31"",""dateEnd"":null,""fullName"":""Сидоров Дмитрий Александрович"",""inn"":""772680344762"",""position"":""Генеральный директор"",""role"":""RECEIVER""}]","[{""email"":""info4@example.ru"",""phone"":""+7 955 725-83-41""}]",USR-004,u.4@example.ru,Иванов Иван Николаевич,+7 953 228-68-19,user4@example.ru,2024-08-04T20:28:56Z,,sess-fab077e2,2026-07-04T20:28:56Z,LOGIN,191.174.179.134,34144,IPv4,Mozilla/5.0 (compatible; CopmFake/1.0),dev-b2f15e,"55.75,37.62",ORD-004,CNT-004,CONFIRMED,AUTO,2026-06-05T20:28:56Z,2026-06-06T20:28:56Z,ORG-004,"Новосибирск, Советская","Соколов Николай Николаевич, +7 957 565-62-40",ORG-1004,"Самара, Советская","Кузнецов Сергей Николаевич, +7 912 847-91-52",Новосибирск,Новосибирск,[],Феникс Карго,0824043300,,А948ВС77,85559840305,,Промышленное оборудование,7006.4,12.3,ADR 3,,INS-004,497556,3221967068,,2026-07-07,2026-07-08,TRK-004,2026-07-04T20:28:56Z,DEPARTED,Груз прошёл таможенное оформление,"Новосибирск, Гагарина",Новосибирск,"55.75,37.62",OP-33,scn-797f36,PAY-004,2026-07-03T20:28:56Z,REFUND,CARD,17631.00,RUB,INV-004,"{""account"":""40802834436038403"",""bankName"":""ВТБ"",""bik"":""044525187"",""inn"":""4077941936""}","{""account"":""40702834764926648"",""bankName"":""Сбербанк"",""bik"":""044525225""}",PENDING,,134.154.221.77,CONV-004,2026-06-30T20:28:56Z,2026-07-01T20:28:56Z,PHONE,MSG-004,2026-07-01T20:28:56Z,"Добрый день! Уточните, пожалуйста, статус заявки.","[""https://files.example.ru/doc-086ad1.pdf""]",operator.1,ORD-004,2026-07-05T20:28:56Z,80.108.39.59,55662,10.0.242.131,443,UDP,SYN,489357
ORG-005,BLOCKED,2024-04-26T20:28:56Z,"ООО ""Сибирь Групп""",Кама,8022143889,718503385,4595662095373,64743990,5832,"{""building"":""102"",""city"":""Санкт-Петербург"",""street"":""Гагарина""}","{""building"":""36"",""city"":""Санкт-Петербург"",""street"":""Ленина""}",RU,false,,"{""bankName"":""ВТБ"",""bik"":""044525187"",""correspondentAccount"":""30101842570383903"",""settlementAccount"":""40702865898737356""}","[{""dateBegin"":""2025-05-31"",""dateEnd"":null,""fullName"":""Соколов Иван Сергеевич"",""inn"":""370859899940"",""position"":""Генеральный директор"",""role"":""PAYER""}]","[{""email"":""info5@example.ru"",""phone"":""+7 961 865-89-56""}]",USR-005,u.5@example.ru,Кузнецов Алексей Сергеевич,+7 921 980-12-70,user5@example.ru,2024-08-04T20:28:56Z,,sess-d5d50a88,2026-07-04T20:28:56Z,LOGOUT,136.15.234.13,17264,IPv4,Mozilla/5.0 (compatible; CopmFake/1.0),dev-162c0e,"55.75,37.62",ORD-005,CNT-005,CANCELLED,AUTO,2026-06-05T20:28:56Z,2026-06-06T20:28:56Z,ORG-005,"Санкт-Петербург, Ленина","Кузнецов Пётр Иванович, +7 992 417-95-21",ORG-1005,"Ростов-на-Дону, Победы","Попов Алексей Николаевич, +7 921 354-60-37",Санкт-Петербург,Екатеринбург,"[""Уфа"",""Самара""]",Прогресс Карго,8066061414,SU-155,,31359065995,,Промышленное оборудование,6895.5,100.2,,Температурный режим +2..+8,,58442,9404238858,7573807695,2026-07-07,2026-07-08,TRK-005,2026-07-04T20:28:56Z,DELIVERED,Груз прошёл таможенное оформление,"Санкт-Петербург, Мира",Санкт-Петербург,"55.75,37.62",OP-25,scn-077bd1,PAY-005,2026-07-03T20:28:56Z,REFUND,ACCOUNT_DEBIT,338492.00,RUB,INV-005,"{""account"":""40802891015005999"",""bankName"":""ВТБ"",""bik"":""044525187"",""inn"":""8022143889""}","{""account"":""40702871274210591"",""bankName"":""Сбербанк"",""bik"":""044525225""}",CONFIRMED,EXT-0158095d,194.152.173.95,CONV-005,2026-06-30T20:28:56Z,2026-07-01T20:28:56Z,MESSENGER,MSG-005,2026-07-01T20:28:56Z,"Добрый день! Уточните, пожалуйста, статус заявки.","[""https://files.example.ru/doc-edb3f1.pdf""]",operator.3,ORD-005,2026-07-05T20:28:56Z,145.145.68.156,24770,10.0.163.28,443,TCP,,303408
ORG-006,BLOCKED,2024-04-26T20:28:56Z,"ООО ""Феникс Логистик""",Волга,0340487052,654352740,7313034551930,86473670,0580,"{""building"":""136"",""city"":""Уфа"",""street"":""Советская""}","{""building"":""32"",""city"":""Уфа"",""street"":""Победы""}",RU,false,Логистика,"{""bankName"":""Альфа-Банк"",""bik"":""044525593"",""correspondentAccount"":""30101871287037077"",""settlementAccount"":""40702868520099632""}","[{""dateBegin"":""2025-05-31"",""dateEnd"":null,""fullName"":""Петров Дмитрий Иванович"",""inn"":""748155450192"",""position"":""Генеральный директор"",""role"":""PAYER""}]","[{""email"":""info6@example.ru"",""phone"":""+7 982 697-54-87""}]",USR-006,u.6@example.ru,Морозов Владимир Николаевич,+7 938 754-82-61,user6@example.ru,2024-08-04T20:28:56Z,,sess-9ab90fe7,2026-07-04T20:28:56Z,LOGIN,90.214.229.56,41722,IPv4,Mozilla/5.0 (compatible; CopmFake/1.0),,"55.75,37.62",ORD-006,CNT-006,CREATED,AIR,2026-06-05T20:28:56Z,2026-06-06T20:28:56Z,ORG-006,"Уфа, Победы","Смирнов Александр Иванович, +7 976 377-95-12",ORG-1006,"Санкт-Петербург, Мира","Петров Дмитрий Сергеевич, +7 951 351-14-98",Уфа,Уфа,[],Балтика Карго,2547665509,SU-572,А770ВС77,40321184253,46950178,Промышленное оборудование,11046.7,91.3,,Температурный режим +2..+8,,,6167219940,0476330394,2026-07-07,2026-07-08,TRK-006,2026-07-04T20:28:56Z,DEPARTED,,"Уфа, Ленина",Уфа,"55.75,37.62",OP-4,scn-a340bd,PAY-006,2026-07-03T20:28:56Z,POSTPAYMENT,BANK_TRANSFER,404905.00,RUB,INV-006,"{""account"":""40802865858070417"",""bankName"":""Альфа-Банк"",""bik"":""044525593"",""inn"":""0340487052""}","{""account"":""40702892954886626"",""bankName"":""Газпромбанк"",""bik"":""044525823""}",PENDING,EXT-47441a25,97.171.128.157,CONV-006,2026-06-30T20:28:56Z,2026-07-01T20:28:56Z,MESSENGER,MSG-006,2026-07-01T20:28:56Z,"Добрый день! Уточните, пожалуйста, статус заявки.",[],operator.11,,2026-07-05T20:28:56Z,7.25.217.114,25062,10.0.147.121,443,TCP,SYN,220773
ORG-007,ARCHIVED,2024-04-26T20:28:56Z,"ООО ""Кама Cargo""",Восток,9161687883,534848519,4551213051363,06499880,7100,"{""building"":""33"",""city"":""Казань"",""street"":""Центральная""}","{""building"":""117"",""city"":""Казань"",""street"":""Мира""}",RU,false,Логистика,"{""bankName"":""Сбербанк"",""bik"":""044525225"",""correspondentAccount"":""30101883786961967"",""settlementAccount"":""40702864833901202""}","[{""dateBegin"":""2025-05-31"",""dateEnd"":null,""fullName"":""Соколов Владимир Петрович"",""inn"":""725078038485"",""position"":""Генеральный директор"",""role"":""SENDER""}]","[{""email"":""info7@example.ru"",""phone"":""+7 968 938-86-75""}]",USR-007,u.7@example.ru,Смирнов Пётр Николаевич,+7 960 908-98-55,user7@example.ru,2024-08-04T20:28:56Z,,sess-de8e4d80,2026-07-04T20:28:56Z,LOGIN,25.12.166.136,24372,IPv4,Mozilla/5.0 (compatible; CopmFake/1.0),dev-48d070,"55.75,37.62",ORD-007,CNT-007,DELIVERED,AIR,2026-06-05T20:28:56Z,2026-06-06T20:28:56Z,ORG-007,"Казань, Мира","Иванов Сергей Иванович, +7 947 622-19-82",ORG-1007,"Екатеринбург, Центральная","Иванов Алексей Александрович, +7 947 617-15-86",Казань,Санкт-Петербург,"[""Казань""]",Балтика Карго,4657406961,SU-506,А909ВС77,47191927966,35315919,Промышленное оборудование,18492.5,12.9,ADR 1,,INS-007,19113,,0537479679,2026-07-07,2026-07-08,TRK-007,2026-07-04T20:28:56Z,DEPARTED,Груз прошёл таможенное оформление,"Казань, Советская",Казань,"55.75,37.62",OP-24,,PAY-007,2026-07-03T20:28:56Z,INVOICE,BANK_TRANSFER,20380.00,RUB,INV-007,"{""account"":""40802807336211991"",""bankName"":""Сбербанк"",""bik"":""044525225"",""inn"":""9161687883""}","{""account"":""40702828464934827"",""bankName"":""Альфа-Банк"",""bik"":""044525593""}",REFUNDED,EXT-7f3a7d73,208.94.199.195,CONV-007,2026-06-30T20:28:56Z,2026-07-01T20:28:56Z,MESSENGER,MSG-007,2026-07-01T20:28:56Z,"Добрый день! Уточните, пожалуйста, статус заявки.","[""https://files.example.ru/doc-9d98c9.pdf""]",operator.3,ORD-007,2026-07-05T20:28:56Z,114.186.191.244,10777,10.0.170.7,443,UDP,,48723
ORG-008,ARCHIVED,2024-04-26T20:28:56Z,"ООО ""Волга Сервис""",Меридиан,5064631897,253356091,9383935611866,30444232,5450,"{""building"":""139"",""city"":""Ростов-на-Дону"",""street"":""Центральная""}",,RU,false,Логистика,"{""bankName"":""Альфа-Банк"",""bik"":""044525593"",""correspondentAccount"":""30101868383723165"",""settlementAccount"":""40702849251464637""}","[{""dateBegin"":""2025-05-31"",""dateEnd"":null,""fullName"":""Соколов Алексей Николаевич"",""inn"":""963216577060"",""position"":""Генеральный директор"",""role"":""PAYER""}]","[{""email"":""info8@example.ru"",""phone"":""+7 986 172-71-16""}]",USR-008,u.8@example.ru,Морозов Дмитрий Николаевич,+7 946 658-83-65,user8@example.ru,2024-08-04T20:28:56Z,,sess-dfc1d914,2026-07-04T20:28:56Z,LOGIN,14.247.243.19,36955,IPv4,Mozilla/5.0 (compatible; CopmFake/1.0),dev-1d5c20,"55.75,37.62",ORD-008,CNT-008,CREATED,INTERNATIONAL,2026-06-05T20:28:56Z,2026-06-06T20:28:56Z,ORG-008,"Ростов-на-Дону, Мира","Кузнецов Дмитрий Николаевич, +7 961 365-47-23",ORG-1008,"Санкт-Петербург, Мира","Петров Александр Сергеевич, +7 983 828-98-23",Ростов-на-Дону,Ростов-на-Дону,[],Волга Карго,9025209696,SU-131,А452ВС77,00128881282,05027228,Промышленное оборудование,7213.8,,ADR 6,Температурный режим +2..+8,INS-008,,,0507799516,2026-07-07,2026-07-08,TRK-008,2026-07-04T20:28:56Z,ARRIVED,Груз прошёл таможенное оформление,"Ростов-на-Дону, Ленина",Ростов-на-Дону,,OP-4,scn-63cee4,PAY-008,2026-07-03T20:28:56Z,POSTPAYMENT,BANK_TRANSFER,112763.00,RUB,INV-008,"{""account"":""40802811628472331"",""bankName"":""Альфа-Банк"",""bik"":""044525593"",""inn"":""5064631897""}","{""account"":""40702874729547169"",""bankName"":""Сбербанк"",""bik"":""044525225""}",REFUNDED,,14.47.162.71,CONV-008,2026-06-30T20:28:56Z,2026-07-01T20:28:56Z,EMAIL,MSG-008,2026-07-01T20:28:56Z,"Добрый день! Уточните, пожалуйста, статус заявки.",[],operator.11,ORD-008,2026-07-05T20:28:56Z,78.59.56.8,13571,10.0.194.79,443,TCP,SYN,403231
ORG-009,ACTIVE,2024-04-26T20:28:56Z,"ООО ""Меридиан Логистик""",Волга,7118771289,602262438,8680500231987,,4451,"{""building"":""52"",""city"":""Екатеринбург"",""street"":""Советская""}","{""building"":""103"",""city"":""Екатеринбург"",""street"":""Ленина""}",RU,false,Логистика,"{""bankName"":""Сбербанк"",""bik"":""044525225"",""correspondentAccount"":""30101865345803586"",""settlementAccount"":""40702884494628956""}","[{""dateBegin"":""2025-05-31"",""dateEnd"":null,""fullName"":""Петров Дмитрий Николаевич"",""inn"":""410653333407"",""position"":""Генеральный директор"",""role"":""RECEIVER""}]","[{""email"":""info9@example.ru"",""phone"":""+7 992 443-61-27""}]",USR-009,u.9@example.ru,Морозов Николай Иванович,+7 973 961-63-35,user9@example.ru,2024-08-04T20:28:56Z,,sess-354fabd2,2026-07-04T20:28:56Z,LOGIN,201.187.160.105,18960,IPv4,Mozilla/5.0 (compatible; CopmFake/1.0),dev-0a2391,"55.75,37.62",ORD-009,CNT-009,CREATED,INTERNATIONAL,2026-06-05T20:28:56Z,2026-06-06T20:28:56Z,ORG-009,"Екатеринбург, Гагарина","Иванов Владимир Иванович, +7 934 171-83-25",ORG-1009,"Самара, Ленина","Попов Николай Петрович, +7 917 967-15-14",Екатеринбург,Уфа,"[""Уфа"",""Екатеринбург""]",Меридиан Карго,3482516992,SU-835,А852ВС77,,57050735,Промышленное оборудование,17963.9,,ADR 1,Температурный режим +2..+8,INS-009,411099,4975227965,,2026-07-07,2026-07-08,TRK-009,2026-07-04T20:28:56Z,ARRIVED,,"Екатеринбург, Гагарина",Екатеринбург,"55.75,37.62",,scn-ab8288,PAY-009,2026-07-03T20:28:56Z,PREPAYMENT,ACCOUNT_DEBIT,327712.00,RUB,INV-009,"{""account"":""40802890293547391"",""bankName"":""Сбербанк"",""bik"":""044525225"",""inn"":""7118771289""}","{""account"":""40702871126827158"",""bankName"":""Сбербанк"",""bik"":""044525225""}",CONFIRMED,EXT-574ab253,77.228.244.64,CONV-009,2026-06-30T20:28:56Z,2026-07-01T20:28:56Z,CHAT_LK,MSG-009,2026-07-01T20:28:56Z,"Добрый день! Уточните, пожалуйста, статус заявки.",[],operator.1,ORD-009,2026-07-05T20:28:56Z,99.45.23.212,64406,10.0.144.80,443,UDP,SYN,449888
ORG-010,BLOCKED,2024-04-26T20:28:56Z,"ООО ""Гарант Транс""",Меридиан,3909471297,307368102,8868377867520,63218034,2923,"{""building"":""19"",""city"":""Самара"",""street"":""Центральная""}","{""building"":""56"",""city"":""Самара"",""street"":""Мира""}",RU,false,Логистика,"{""bankName"":""Сбербанк"",""bik"":""044525225"",""correspondentAccount"":""30101851153393926"",""settlementAccount"":""40702875504375825""}","[{""dateBegin"":""2025-05-31"",""dateEnd"":null,""fullName"":""Смирнов Иван Иванович"",""inn"":""916072412658"",""position"":""Генеральный директор"",""role"":""RECEIVER""}]","[{""email"":""info10@example.ru"",""phone"":""+7 937 899-27-90""}]",USR-010,u.10@example.ru,Петров Владимир Сергеевич,+7 959 790-41-56,user10@example.ru,2024-08-04T20:28:56Z,,sess-39203b78,2026-07-04T20:28:56Z,LOGOUT,169.27.99.123,32754,IPv4,Mozilla/5.0 (compatible; CopmFake/1.0),dev-654c4e,"55.75,37.62",ORD-010,CNT-010,DELIVERED,AUTO,2026-06-05T20:28:56Z,2026-06-06T20:28:56Z,ORG-010,"Самара, Мира","Иванов Сергей Иванович, +7 997 379-23-88",ORG-1010,"Екатеринбург, Ленина","Петров Александр Александрович, +7 973 765-75-88",Самара,Ростов-на-Дону,"[""Новосибирск"",""Самара""]",Гарант Карго,2575861806,,А497ВС77,80527358350,31312426,Промышленное оборудование,18074.0,50.5,ADR 4,,INS-010,,6469315557,,2026-07-07,2026-07-08,TRK-010,2026-07-04T20:28:56Z,ARRIVED,Груз прошёл таможенное оформление,"Самара, Ленина",Самара,"55.75,37.62",,,PAY-010,2026-07-03T20:28:56Z,REFUND,BANK_TRANSFER,415039.00,RUB,INV-010,"{""account"":""40802838725244840"",""bankName"":""Сбербанк"",""bik"":""044525225"",""inn"":""3909471297""}","{""account"":""40702857026342078"",""bankName"":""Газпромбанк"",""bik"":""044525823""}",REFUNDED,EXT-2dd11147,40.231.150.4,CONV-010,2026-06-30T20:28:56Z,2026-07-01T20:28:56Z,MESSENGER,MSG-010,2026-07-01T20:28:56Z,"Добрый день! Уточните, пожалуйста, статус заявки.","[""https://files.example.ru/doc-205799.pdf""]",operator.11,ORD-010,2026-07-05T20:28:56Z,216.4.21.249,41307,10.0.49.26,443,UDP,FIN,196086
